MAE,MSE,RMSE,R2
280981.32388432795,589956028141.2501,768085.9510115064,0.001390086564305948
369363.94685735955,9681853884756.152,3111567.753521712,0.0015977076708856286
115061.91496507649,43153188786.98864,207733.45610899714,0.31387235845727735
