brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_state
100796.0,ready_to_build,831995.0,3.0,,,7968.0,Trumbull,Connecticut,6611.0,2500.0,,"Trumbull, CT"
100796.0,ready_to_build,1102995.0,3.0,,,596002.0,Warren,New Jersey,7059.0,2783.0,,"Warren, NJ"
51266.0,ready_to_build,544990.0,3.0,,,21102.0,Dunellen Borough,New Jersey,8812.0,2072.0,,"Dunellen Borough, NJ"
51266.0,ready_to_build,755990.0,3.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2258.0,,"Old Bridge, NJ"
51266.0,ready_to_build,824990.0,4.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2827.0,,"Old Bridge, NJ"
51266.0,ready_to_build,799990.0,3.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2653.0,,"Old Bridge, NJ"
51266.0,ready_to_build,794990.0,4.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2555.0,,"Old Bridge, NJ"
51266.0,ready_to_build,799990.0,4.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2605.0,,"Old Bridge, NJ"
51266.0,ready_to_build,819990.0,4.0,,,1136323.0,Old Bridge,New Jersey,8857.0,2999.0,,"Old Bridge, NJ"
100796.0,ready_to_build,1370995.0,3.0,,,1722311.0,Franklin Lakes,New Jersey,7417.0,2872.0,,"Franklin Lakes, NJ"
100796.0,ready_to_build,1466995.0,3.0,,,1722311.0,Franklin Lakes,New Jersey,7417.0,2980.0,,"Franklin Lakes, NJ"
100796.0,ready_to_build,1327995.0,3.0,,,1722311.0,Franklin Lakes,New Jersey,7417.0,2655.0,,"Franklin Lakes, NJ"
100796.0,ready_to_build,1346995.0,3.0,,,1722311.0,Franklin Lakes,New Jersey,7417.0,3146.0,,"Franklin Lakes, NJ"
51266.0,ready_to_build,1089990.0,3.0,,,605792.0,Old Tappan,New Jersey,7675.0,3041.0,,"Old Tappan, NJ"
51266.0,ready_to_build,959990.0,3.0,,,605792.0,Old Tappan,New Jersey,7675.0,2483.0,,"Old Tappan, NJ"
51266.0,ready_to_build,899990.0,3.0,,,605792.0,Old Tappan,New Jersey,7675.0,2500.0,,"Old Tappan, NJ"
51266.0,ready_to_build,1029990.0,3.0,,,605792.0,Old Tappan,New Jersey,7675.0,2717.0,,"Old Tappan, NJ"
100796.0,ready_to_build,970995.0,3.0,,,9058.0,Upper Saddle River,New Jersey,7458.0,3055.0,,"Upper Saddle River, NJ"
100796.0,ready_to_build,970995.0,3.0,,,9058.0,Upper Saddle River,New Jersey,7458.0,3060.0,,"Upper Saddle River, NJ"
100796.0,ready_to_build,1038995.0,3.0,,,9058.0,Upper Saddle River,New Jersey,7458.0,3020.0,,"Upper Saddle River, NJ"
100796.0,ready_to_build,1238995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2938.0,,"River Vale, NJ"
100796.0,ready_to_build,1096995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2982.0,,"River Vale, NJ"
100796.0,ready_to_build,1233995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2935.0,,"River Vale, NJ"
100796.0,ready_to_build,1197995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,3016.0,,"River Vale, NJ"
100796.0,ready_to_build,1195995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2950.0,,"River Vale, NJ"
100796.0,ready_to_build,1029995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2624.0,,"River Vale, NJ"
100796.0,ready_to_build,969995.0,3.0,,,1255030.0,River Vale,New Jersey,7675.0,2678.0,,"River Vale, NJ"
100796.0,ready_to_build,959995.0,2.0,,,1255030.0,River Vale,New Jersey,7675.0,2330.0,,"River Vale, NJ"
100796.0,ready_to_build,1638995.0,3.0,,,605153.0,Sleepy Hollow,New York,10591.0,2342.0,,"Sleepy Hollow, NY"
100796.0,ready_to_build,1942995.0,3.0,,,605153.0,Sleepy Hollow,New York,10591.0,2517.0,,"Sleepy Hollow, NY"
,ready_to_build,2120750.0,2.0,,,1136551.0,Red Bank,New Jersey,7701.0,2495.0,,"Red Bank, NJ"
,ready_to_build,2642400.0,2.0,,,1136551.0,Red Bank,New Jersey,7701.0,2936.0,,"Red Bank, NJ"
,ready_to_build,1748800.0,2.0,,,1136551.0,Red Bank,New Jersey,7701.0,2186.0,,"Red Bank, NJ"
,ready_to_build,2138450.0,2.0,,,1136551.0,Red Bank,New Jersey,7701.0,2457.0,,"Red Bank, NJ"
,ready_to_build,1748800.0,2.0,,,1136551.0,Red Bank,New Jersey,7701.0,2185.0,,"Red Bank, NJ"
51266.0,ready_to_build,1039990.0,3.0,,,965946.0,Asbury Park,New Jersey,7712.0,2916.0,,"Asbury Park, NJ"
51266.0,ready_to_build,919990.0,3.0,,,965946.0,Asbury Park,New Jersey,7712.0,2011.0,,"Asbury Park, NJ"
51266.0,ready_to_build,979990.0,2.0,,,965946.0,Asbury Park,New Jersey,7712.0,1765.0,,"Asbury Park, NJ"
51266.0,ready_to_build,1150990.0,3.0,,,965946.0,Asbury Park,New Jersey,7712.0,2677.0,,"Asbury Park, NJ"
57595.0,ready_to_build,700990.0,3.0,,,197853.0,Tinton Falls,New Jersey,7724.0,2395.0,,"Tinton Falls, NJ"
100796.0,ready_to_build,1569995.0,4.0,,,1449822.0,Lincroft,New Jersey,7738.0,4298.0,,"Lincroft, NJ"
100796.0,ready_to_build,1437995.0,4.0,,,1449822.0,Lincroft,New Jersey,7738.0,3124.0,,"Lincroft, NJ"
51266.0,ready_to_build,661990.0,3.0,,,640169.0,Wall Township,New Jersey,7719.0,2193.0,,"Wall Township, NJ"
51267.0,ready_to_build,761990.0,3.0,,,188650.0,Farmingdale,New Jersey,7727.0,2821.0,,"Farmingdale, NJ"
51267.0,ready_to_build,791990.0,4.0,,,188650.0,Farmingdale,New Jersey,7727.0,3092.0,,"Farmingdale, NJ"
51267.0,ready_to_build,731990.0,3.0,,,188650.0,Farmingdale,New Jersey,7727.0,2601.0,,"Farmingdale, NJ"
51267.0,ready_to_build,741990.0,2.0,,,188650.0,Farmingdale,New Jersey,7727.0,2062.0,,"Farmingdale, NJ"
51267.0,ready_to_build,681990.0,2.0,,,188650.0,Farmingdale,New Jersey,7727.0,1817.0,,"Farmingdale, NJ"
51267.0,ready_to_build,711990.0,2.0,,,188650.0,Farmingdale,New Jersey,7727.0,2002.0,,"Farmingdale, NJ"
100796.0,ready_to_build,723995.0,3.0,,,1101161.0,Middletown,New Jersey,7748.0,2800.0,,"Middletown, NJ"
51267.0,ready_to_build,721990.0,3.0,,,188650.0,Farmingdale,New Jersey,7727.0,2334.0,,"Farmingdale, NJ"
51266.0,ready_to_build,689990.0,3.0,,,765192.0,Marlboro Township,New Jersey,7746.0,2483.0,,"Marlboro Township, NJ"
100796.0,ready_to_build,731995.0,3.0,,,1101161.0,Middletown,New Jersey,7748.0,2812.0,,"Middletown, NJ"
100796.0,ready_to_build,790995.0,3.0,,,1101161.0,Middletown,New Jersey,7748.0,2784.0,,"Middletown, NJ"
100796.0,ready_to_build,856995.0,2.0,,,1645428.0,Farmingdale,New Jersey,7727.0,1910.0,,"Farmingdale, NJ"
100796.0,ready_to_build,849995.0,2.0,,,1645428.0,Farmingdale,New Jersey,7727.0,1827.0,,"Farmingdale, NJ"
100796.0,ready_to_build,863995.0,3.0,,,1645428.0,Farmingdale,New Jersey,7727.0,2387.0,,"Farmingdale, NJ"
100796.0,ready_to_build,797995.0,2.0,,,1645428.0,Farmingdale,New Jersey,7727.0,1826.0,,"Farmingdale, NJ"
100796.0,ready_to_build,918995.0,3.0,,,1645428.0,Farmingdale,New Jersey,7727.0,2679.0,,"Farmingdale, NJ"
100796.0,ready_to_build,1529995.0,4.0,,,1449822.0,Lincroft,New Jersey,7738.0,3686.0,,"Lincroft, NJ"
100796.0,ready_to_build,901995.0,3.0,,,1101204.0,Manalapan,New Jersey,7726.0,2497.0,,"Manalapan, NJ"
100796.0,ready_to_build,898995.0,3.0,,,1101204.0,Manalapan,New Jersey,7726.0,2566.0,,"Manalapan, NJ"
100796.0,ready_to_build,917995.0,2.0,,,1370115.0,Manalapan,New Jersey,7726.0,2214.0,,"Manalapan, NJ"
100796.0,ready_to_build,894995.0,2.0,,,1370115.0,Manalapan,New Jersey,7726.0,2029.0,,"Manalapan, NJ"
100796.0,ready_to_build,979995.0,3.0,,,1370115.0,Manalapan,New Jersey,7726.0,3037.0,,"Manalapan, NJ"
100796.0,ready_to_build,841995.0,2.0,,,1101204.0,Manalapan,New Jersey,7726.0,1910.0,,"Manalapan, NJ"
100796.0,ready_to_build,833995.0,2.0,,,1101204.0,Manalapan,New Jersey,7726.0,1827.0,,"Manalapan, NJ"
100796.0,ready_to_build,1001995.0,3.0,,,1370115.0,Manalapan,New Jersey,7726.0,3235.0,,"Manalapan, NJ"
57595.0,ready_to_build,594990.0,3.0,,,119992.0,Morris Plains,New Jersey,7950.0,2070.0,,"Morris Plains, NJ"
