MAE,MSE,RMSE,R2
246402.82507758384,481289534140.1617,693750.339920754,0.22794502443671327
393078.518204782,6784453869303.687,2604698.4219490145,0.03266916461230174
105471.59648787207,31335483625.250374,177018.31437806194,0.51520612107609
